,ds,t,trend,seasonal_lower,seasonal_upper,trend_lower,trend_upper,yhat_lower,yhat_upper,weekly,weekly_lower,weekly_upper,seasonal,yhat
0,2016-06-11,0.0,2.60751187776,-0.00164568530171,-0.00164568530171,2.60751187776,2.60751187776,2.28089516915,2.94495839206,-0.00164568530171,-0.00164568530171,-0.00164568530171,-0.00164568530171,2.60586619246
1,2016-06-12,0.00276243093923,2.57517770329,-0.0113902612425,-0.0113902612425,2.57517770329,2.57517770329,2.25783475906,2.8864160203,-0.0113902612425,-0.0113902612425,-0.0113902612425,-0.0113902612425,2.56378744205
2,2016-06-13,0.00552486187845,2.54284352881,-0.0120181735173,-0.0120181735173,2.54284352881,2.54284352881,2.18230994699,2.85162465361,-0.0120181735173,-0.0120181735173,-0.0120181735173,-0.0120181735173,2.53082535529
3,2016-06-14,0.00828729281768,2.51050935434,0.0169020343757,0.0169020343757,2.51050935434,2.51050935434,2.22644858393,2.83547320635,0.0169020343757,0.0169020343757,0.0169020343757,0.0169020343757,2.52741138871
4,2016-06-15,0.0110497237569,2.47817517986,0.0157095238346,0.0157095238346,2.47817517986,2.47817517986,2.17378541467,2.82890593433,0.0157095238346,0.0157095238346,0.0157095238346,0.0157095238346,2.49388470369
5,2016-06-16,0.0138121546961,2.44584100538,-0.000525097159514,-0.000525097159514,2.44584100538,2.44584100538,2.12213026385,2.74942206377,-0.000525097159514,-0.000525097159514,-0.000525097159514,-0.000525097159514,2.44531590822
6,2016-06-17,0.0165745856354,2.41350683091,-0.00703234098932,-0.00703234098932,2.41350683091,2.41350683091,2.07819168699,2.7293664388,-0.00703234098932,-0.00703234098932,-0.00703234098932,-0.00703234098932,2.40647448992
7,2016-06-18,0.0193370165746,2.38117265643,-0.0016456853017,-0.0016456853017,2.38117265643,2.38117265643,2.0502906857,2.68732575048,-0.0016456853017,-0.0016456853017,-0.0016456853017,-0.0016456853017,2.37952697113
8,2016-06-19,0.0220994475138,2.34883848195,-0.0113902612425,-0.0113902612425,2.34883848195,2.34883848195,2.03002922782,2.65641382305,-0.0113902612425,-0.0113902612425,-0.0113902612425,-0.0113902612425,2.33744822071
9,2016-06-20,0.024861878453,2.31650430748,-0.0120181735173,-0.0120181735173,2.31650430748,2.31650430748,1.99001874003,2.61769090606,-0.0120181735173,-0.0120181735173,-0.0120181735173,-0.0120181735173,2.30448613396
10,2016-06-21,0.0276243093923,2.284170133,0.0169020343757,0.0169020343757,2.284170133,2.284170133,1.9946147272,2.61024939112,0.0169020343757,0.0169020343757,0.0169020343757,0.0169020343757,2.30107216738
11,2016-06-22,0.0303867403315,2.25183595852,0.0157095238346,0.0157095238346,2.25183595852,2.25183595852,1.94365248616,2.57578093631,0.0157095238346,0.0157095238346,0.0157095238346,0.0157095238346,2.26754548236
12,2016-06-23,0.0331491712707,2.21950178368,-0.000525097159539,-0.000525097159539,2.21950178368,2.21950178368,1.9000279773,2.54144150708,-0.000525097159539,-0.000525097159539,-0.000525097159539,-0.000525097159539,2.21897668652
13,2016-07-01,0.0552486187845,1.96082838492,-0.00703234098933,-0.00703234098933,1.96082838492,1.96082838492,1.62547313606,2.26918046542,-0.00703234098933,-0.00703234098933,-0.00703234098933,-0.00703234098933,1.95379604393
14,2016-07-02,0.0580110497238,1.92849421007,-0.00164568530171,-0.00164568530171,1.92849421007,1.92849421007,1.60437550411,2.24680957495,-0.00164568530171,-0.00164568530171,-0.00164568530171,-0.00164568530171,1.92684852477
15,2016-07-03,0.060773480663,1.89616003523,-0.0113902612425,-0.0113902612425,1.89616003523,1.89616003523,1.5198044679,2.19925072726,-0.0113902612425,-0.0113902612425,-0.0113902612425,-0.0113902612425,1.88476977399
16,2016-07-04,0.0635359116022,1.86382586038,-0.0120181735173,-0.0120181735173,1.86382586038,1.86382586038,1.53389996174,2.15285099379,-0.0120181735173,-0.0120181735173,-0.0120181735173,-0.0120181735173,1.85180768687
17,2016-07-05,0.0662983425414,1.83149168554,0.0169020343757,0.0169020343757,1.83149168554,1.83149168554,1.54367706228,2.16525655392,0.0169020343757,0.0169020343757,0.0169020343757,0.0169020343757,1.84839371991
18,2016-07-06,0.0690607734807,1.79915751069,0.0157095238346,0.0157095238346,1.79915751069,1.79915751069,1.51186641945,2.15112230236,0.0157095238346,0.0157095238346,0.0157095238346,0.0157095238346,1.81486703453
19,2016-07-07,0.0718232044199,1.76682333585,-0.000525097159513,-0.000525097159513,1.76682333585,1.76682333585,1.45394738646,2.10435331031,-0.000525097159513,-0.000525097159513,-0.000525097159513,-0.000525097159513,1.76629823869
20,2016-07-08,0.0745856353591,1.734489161,-0.00703234098932,-0.00703234098932,1.734489161,1.734489161,1.40753759279,2.03371342306,-0.00703234098932,-0.00703234098932,-0.00703234098932,-0.00703234098932,1.72745682001
21,2016-07-09,0.0773480662983,1.70215498616,-0.00164568530172,-0.00164568530172,1.70215498616,1.70215498616,1.36090508099,2.02676344397,-0.00164568530172,-0.00164568530172,-0.00164568530172,-0.00164568530172,1.70050930086
22,2016-07-10,0.0801104972376,1.6825086078,-0.0113902612424,-0.0113902612424,1.6825086078,1.6825086078,1.34992904654,2.00946778032,-0.0113902612424,-0.0113902612424,-0.0113902612424,-0.0113902612424,1.67111834656
23,2016-07-11,0.0828729281768,1.66286222944,-0.0120181735173,-0.0120181735173,1.66286222944,1.66286222944,1.33043819188,1.95990574679,-0.0120181735173,-0.0120181735173,-0.0120181735173,-0.0120181735173,1.65084405592
