,ds,t,trend,seasonal_lower,seasonal_upper,trend_lower,trend_upper,yhat_lower,yhat_upper,weekly,weekly_lower,weekly_upper,seasonal,yhat
72,2016-08-29,0.218232044199,7.10377059261,-0.00533648101557,-0.00533648101557,7.10377059261,7.10377059261,6.32067495367,7.91477272664,-0.00533648101557,-0.00533648101557,-0.00533648101557,-0.00533648101557,7.0984341116
73,2016-08-30,0.220994475138,7.1023876309,-0.0414074014633,-0.0414074014633,7.1023876309,7.1023876309,6.30934472183,7.84846109547,-0.0414074014633,-0.0414074014633,-0.0414074014633,-0.0414074014633,7.06098022944
74,2016-08-31,0.223756906077,7.1010046692,-0.0324799032451,-0.0324799032451,7.1010046692,7.1010046692,6.29041001657,7.81157700452,-0.0324799032451,-0.0324799032451,-0.0324799032451,-0.0324799032451,7.06852476595
75,2016-09-01,0.226519337017,7.09962170749,0.00292817619105,0.00292817619105,7.09962170749,7.09962170749,6.27641509407,7.91154749211,0.00292817619105,0.00292817619105,0.00292817619105,0.00292817619105,7.10254988368
76,2016-09-04,0.234806629834,7.09547282234,-0.00872599088175,-0.00872599088175,7.09547282234,7.09547282234,6.33078195951,7.8778395731,-0.00872599088175,-0.00872599088175,-0.00872599088175,-0.00872599088175,7.08674683145
77,2016-09-05,0.237569060773,7.09408986062,-0.00533648101559,-0.00533648101559,7.09408986062,7.09408986062,6.28570368019,7.82171199578,-0.00533648101559,-0.00533648101559,-0.00533648101559,-0.00533648101559,7.0887533796
78,2016-09-06,0.240331491713,7.0927068989,-0.0414074014634,-0.0414074014634,7.0927068989,7.0927068989,6.22696059793,7.82247745909,-0.0414074014634,-0.0414074014634,-0.0414074014634,-0.0414074014634,7.05129949744
79,2016-09-07,0.243093922652,7.09132393718,-0.0324799032451,-0.0324799032451,7.09132393718,7.09132393718,6.22006654115,7.80319012017,-0.0324799032451,-0.0324799032451,-0.0324799032451,-0.0324799032451,7.05884403394
80,2016-09-08,0.245856353591,7.08994097547,0.00292817619099,0.00292817619099,7.08994097547,7.08994097547,6.3278118086,7.82427630483,0.00292817619099,0.00292817619099,0.00292817619099,0.00292817619099,7.09286915166
81,2016-09-09,0.24861878453,7.08855801375,0.0440152830429,0.0440152830429,7.08855801375,7.08855801375,6.37891677841,7.94531431337,0.0440152830429,0.0440152830429,0.0440152830429,0.0440152830429,7.13257329679
82,2016-09-10,0.25138121547,7.08717505203,0.0410063173719,0.0410063173719,7.08717505203,7.08717505203,6.32765937692,7.90273433365,0.0410063173719,0.0410063173719,0.0410063173719,0.0410063173719,7.1281813694
83,2016-09-11,0.254143646409,7.08579209031,-0.00872599088178,-0.00872599088178,7.08579209031,7.08579209031,6.28904860492,7.86117001617,-0.00872599088178,-0.00872599088178,-0.00872599088178,-0.00872599088178,7.07706609943
84,2016-09-12,0.256906077348,7.0844091286,-0.00533648101557,-0.00533648101557,7.0844091286,7.0844091286,6.26940888574,7.81704379713,-0.00533648101557,-0.00533648101557,-0.00533648101557,-0.00533648101557,7.07907264758
85,2016-09-13,0.259668508287,7.08302616688,-0.0414074014633,-0.0414074014633,7.08302616688,7.08302616688,6.21286516791,7.77263861437,-0.0414074014633,-0.0414074014633,-0.0414074014633,-0.0414074014633,7.04161876541
86,2016-09-14,0.262430939227,7.08164320516,-0.0324799032452,-0.0324799032452,7.08164320516,7.08164320516,6.19550574376,7.819115133,-0.0324799032452,-0.0324799032452,-0.0324799032452,-0.0324799032452,7.04916330191
87,2016-09-15,0.265193370166,7.08026024323,0.00292817619098,0.00292817619098,7.08026024323,7.08026024323,6.2898291179,7.87500497482,0.00292817619098,0.00292817619098,0.00292817619098,0.00292817619098,7.08318841942
88,2016-09-16,0.267955801105,7.07887728129,0.0440152830429,0.0440152830429,7.07887728129,7.07887728129,6.3490693563,7.85192248987,0.0440152830429,0.0440152830429,0.0440152830429,0.0440152830429,7.12289256433
89,2016-09-17,0.270718232044,7.07749431936,0.0410063173718,0.0410063173718,7.07749431936,7.07749431936,6.33303084338,7.8991645147,0.0410063173718,0.0410063173718,0.0410063173718,0.0410063173718,7.11850063673
90,2016-09-18,0.273480662983,7.07611135742,-0.0087259908818,-0.0087259908818,7.07611135742,7.07611135742,6.31800500442,7.76063297078,-0.0087259908818,-0.0087259908818,-0.0087259908818,-0.0087259908818,7.06738536654
91,2016-09-19,0.276243093923,7.07472839549,-0.00533648101555,-0.00533648101555,7.07472839549,7.07472839549,6.29757686551,7.87121863829,-0.00533648101555,-0.00533648101555,-0.00533648101555,-0.00533648101555,7.06939191447
